                  epoch,             train/loss,              test/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,                   lr/0
                      0,                0.93748,                 5.4474,                0.46416,                      1,              0.0009967
                      1,                0.87322,                 6.7985,                0.52901,                      1,              0.0009934
                      2,                0.82812,                0.70171,                0.74744,                      1,              0.0009901
                      3,                0.75845,                 1.0459,                0.69283,                      1,              0.0009868
                      4,                0.76586,                 1.3694,                0.53584,                      1,              0.0009835
                      5,                0.73464,                0.84001,                0.72014,                      1,              0.0009802
                      6,                0.72673,                 5.1596,                0.37201,                      1,              0.0009769
                      7,                0.68548,                0.71047,                0.77816,                      1,              0.0009736
                      8,                0.70128,                0.65472,                  0.843,                      1,              0.0009703
                      9,                0.63956,                0.55807,                0.88737,                      1,               0.000967
                     10,                0.65914,                 1.4591,                0.49147,                      1,              0.0009637
                     11,                0.65637,                0.74573,                0.74744,                      1,              0.0009604
                     12,                0.64296,                0.58658,                0.88055,                      1,              0.0009571
                     13,                  0.602,                0.58092,                0.87372,                      1,              0.0009538
                     14,                0.60464,                0.52125,                0.90102,                      1,              0.0009505
                     15,                0.60345,                0.74506,                0.73038,                      1,              0.0009472
                     16,                0.60542,                0.95386,                 0.6314,                      1,              0.0009439
                     17,                0.58206,                0.73016,                0.79522,                      1,              0.0009406
                     18,                0.59306,                0.77034,                0.69966,                      1,              0.0009373
                     19,                0.59975,                0.51678,                0.90444,                      1,               0.000934
                     20,                0.56934,                0.78911,                0.79181,                      1,              0.0009307
                     21,                0.55566,                0.50243,                0.89078,                      1,              0.0009274
                     22,                0.58128,                0.50107,                0.90102,                      1,              0.0009241
                     23,                0.54452,                0.55132,                0.90785,                      1,              0.0009208
                     24,                0.55837,                0.52633,                0.88396,                      1,              0.0009175
                     25,                0.54686,                0.93729,                0.68259,                      1,              0.0009142
                     26,                0.53885,                0.52136,                0.89078,                      1,              0.0009109
                     27,                0.55389,                0.46782,                 0.9215,                      1,              0.0009076
                     28,                0.55665,                 0.4626,                0.93857,                      1,              0.0009043
                     29,                 0.5256,                0.51534,                0.89761,                      1,               0.000901
                     30,                0.53992,                0.55101,                0.85666,                      1,              0.0008977
                     31,                 0.5509,                0.49084,                0.92833,                      1,              0.0008944
                     32,                0.49779,                0.52545,                0.88055,                      1,              0.0008911
                     33,                0.50578,                0.48128,                0.92491,                      1,              0.0008878
                     34,                0.52757,                0.85055,                0.71672,                      1,              0.0008845
                     35,                0.53181,                0.51899,                0.90785,                      1,              0.0008812
                     36,                0.50979,                0.54445,                0.84983,                      1,              0.0008779
                     37,                0.50377,                0.54561,                 0.8942,                      1,              0.0008746
                     38,                0.52788,                0.49412,                0.90785,                      1,              0.0008713
                     39,                0.51789,                0.41675,                0.96246,                      1,               0.000868
                     40,                0.48667,                0.45906,                0.92491,                      1,              0.0008647
                     41,                0.49722,                0.48743,                0.91126,                      1,              0.0008614
                     42,                0.51036,                0.64299,                0.83276,                      1,              0.0008581
                     43,                0.48082,                0.47813,                0.90785,                      1,              0.0008548
                     44,                0.51745,                0.48199,                0.92491,                      1,              0.0008515
                     45,                0.48657,                0.48782,                0.91809,                      1,              0.0008482
                     46,                0.49269,                0.49691,                0.92491,                      1,              0.0008449
                     47,                0.50157,                0.99602,                0.69625,                      1,              0.0008416
                     48,                0.47477,                0.47382,                0.90785,                      1,              0.0008383
                     49,                0.52589,                0.45713,                0.92833,                      1,               0.000835
                     50,                0.50393,                0.62248,                0.86348,                      1,              0.0008317
                     51,                0.51683,                0.45728,                 0.9215,                      1,              0.0008284
                     52,                0.51374,                0.49588,                0.89761,                      1,              0.0008251
                     53,                0.49407,                0.54149,                0.87372,                      1,              0.0008218
                     54,                 0.5075,                0.44968,                0.94539,                      1,              0.0008185
                     55,                 0.4901,                0.53367,                0.89078,                      1,              0.0008152
                     56,                0.50449,                0.53172,                0.86689,                      1,              0.0008119
                     57,                0.53413,                0.48014,                0.92491,                      1,              0.0008086
                     58,                0.48938,                0.54108,                0.87372,                      1,              0.0008053
                     59,                 0.4626,                0.42497,                0.96928,                      1,               0.000802
                     60,                0.47184,                0.42432,                0.95563,                      1,              0.0007987
                     61,                 0.5262,                0.42373,                0.94881,                      1,              0.0007954
                     62,                0.47985,                0.46351,                0.91809,                      1,              0.0007921
                     63,                0.46572,                0.42903,                0.95222,                      1,              0.0007888
                     64,                0.48909,                0.47932,                0.91126,                      1,              0.0007855
                     65,                0.48888,                0.46679,                0.93174,                      1,              0.0007822
                     66,                0.45442,                0.45594,                0.91809,                      1,              0.0007789
                     67,                0.47316,                0.42808,                0.94881,                      1,              0.0007756
                     68,                0.47863,                0.43204,                0.94881,                      1,              0.0007723
                     69,                0.47744,                0.55299,                0.85324,                      1,               0.000769
                     70,                0.48093,                0.42465,                0.94881,                      1,              0.0007657
                     71,                0.47399,                0.45817,                0.93857,                      1,              0.0007624
                     72,                0.47996,                0.45877,                0.92491,                      1,              0.0007591
                     73,                0.47722,                0.48229,                 0.9215,                      1,              0.0007558
                     74,                0.47277,                0.46339,                0.92833,                      1,              0.0007525
                     75,                0.47274,                0.50385,                0.88737,                      1,              0.0007492
                     76,                0.48724,                0.46912,                0.93515,                      1,              0.0007459
                     77,                0.46888,                0.40462,                0.95222,                      1,              0.0007426
                     78,                0.50357,                0.44636,                0.92833,                      1,              0.0007393
                     79,                0.46111,                0.41092,                0.96246,                      1,               0.000736
                     80,                0.46513,                 0.4599,                0.92491,                      1,              0.0007327
                     81,                0.43976,                0.42058,                0.94881,                      1,              0.0007294
                     82,                0.47127,                 0.5316,                0.88055,                      1,              0.0007261
                     83,                0.47641,                0.42508,                0.95563,                      1,              0.0007228
                     84,                0.48901,                0.38225,                0.96246,                      1,              0.0007195
