               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss, train/cls_task_loss,train/constraint_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,   val/cls_task_loss, val/constraint_loss,               x/lr0,               x/lr1,               x/lr2
                  28,            0.085375,            0.016859,            0.044025,              1.0624,                   0,           0.0011657,             0.12808,           0.0056354,          0.00092045,            0.077934,            0.015422,            0.043201,              1.0303,                   0,             0.00919,             0.00919,             0.00919
                  29,            0.083042,            0.017039,            0.043443,              1.0556,                   0,           0.0040919,             0.22784,           0.0079647,           0.0013865,            0.076595,            0.015498,            0.042603,              1.0225,                   0,             0.00916,             0.00916,             0.00916
                  30,              0.0813,            0.017196,             0.04285,              1.0508,                   0,           0.0043438,             0.27826,            0.006777,           0.0012877,            0.074505,            0.015653,            0.042078,              1.0156,                   0,             0.00913,             0.00913,             0.00913
                  31,            0.078665,            0.017421,            0.042215,              1.0375,                   0,           0.0047684,             0.28804,            0.012973,           0.0040055,            0.073483,            0.015569,            0.040747,              1.0078,                   0,              0.0091,              0.0091,              0.0091
                  32,            0.076721,            0.017373,            0.041409,              1.0393,                   0,           0.0060384,             0.42021,            0.013396,           0.0034181,            0.072745,             0.01536,            0.039838,             0.99951,                   0,             0.00907,             0.00907,             0.00907
                  33,            0.075293,            0.017346,             0.04063,              1.0292,                   0,           0.0060327,             0.52826,            0.016224,           0.0038347,            0.070961,            0.015398,             0.03894,             0.99023,                   0,             0.00904,             0.00904,             0.00904
                  34,            0.073006,            0.017383,            0.039372,              1.0113,                   0,           0.0043414,             0.75998,            0.015636,            0.003993,            0.069345,            0.015285,             0.03725,             0.96338,                   0,             0.00901,             0.00901,             0.00901
                  35,            0.071618,            0.017162,            0.038242,             0.99144,                   0,             0.31549,             0.07506,            0.025063,            0.006392,            0.067723,            0.015198,            0.035669,             0.94727,                   0,             0.00898,             0.00898,             0.00898
                  36,            0.069093,            0.017089,            0.036876,             0.97557,                   0,             0.77657,            0.049242,            0.032255,           0.0089323,             0.06592,            0.015007,            0.034369,             0.91211,                   0,             0.00895,             0.00895,             0.00895
                  37,            0.068065,            0.016887,            0.035633,             0.96141,                   0,             0.78474,            0.041569,            0.031678,           0.0095474,            0.065792,            0.014775,             0.03313,             0.88672,                   0,             0.00892,             0.00892,             0.00892
                  38,            0.066185,            0.016817,            0.034649,             0.93914,                   0,             0.44489,             0.10028,            0.047968,            0.013882,            0.066614,            0.014425,            0.032245,             0.86084,                   0,             0.00889,             0.00889,             0.00889
                  39,            0.064722,            0.016623,            0.033342,             0.90317,                   0,             0.36028,              0.1553,            0.066032,            0.020684,            0.063976,             0.01452,            0.031012,             0.83496,                   0,             0.00886,             0.00886,             0.00886
                  40,            0.063606,            0.016571,            0.032469,             0.87572,                   0,             0.35035,             0.21701,            0.066672,            0.017457,            0.063389,             0.01446,            0.030481,             0.81055,                   0,             0.00883,             0.00883,             0.00883
                  41,            0.062676,            0.016358,            0.031186,             0.86884,                   0,             0.36014,             0.18349,             0.07062,            0.019909,            0.063211,            0.014202,            0.029736,              0.7876,                   0,              0.0088,              0.0088,              0.0088
                  42,            0.061119,            0.016189,            0.030065,             0.82762,                   0,             0.38286,             0.14694,            0.067528,            0.017626,            0.064889,            0.013866,            0.028864,             0.75586,                   0,             0.00877,             0.00877,             0.00877
                  43,            0.060811,            0.016036,            0.029106,             0.81304,                   0,             0.40183,             0.14314,            0.078548,            0.024364,            0.062245,            0.013888,             0.02818,             0.73438,                   0,             0.00874,             0.00874,             0.00874
                  44,             0.06006,             0.01593,            0.028253,              0.7834,                   0,             0.40818,             0.11749,            0.080538,            0.023703,            0.063839,            0.013648,            0.027094,             0.69824,                   0,             0.00871,             0.00871,             0.00871
                  45,            0.059299,            0.015801,            0.027052,             0.77142,                   0,             0.39726,            0.054825,            0.081696,            0.024906,             0.06079,            0.013745,            0.026215,             0.67529,                   0,             0.00868,             0.00868,             0.00868
                  46,            0.058408,             0.01558,            0.026354,             0.77069,                   0,             0.41432,             0.09312,            0.081539,            0.025281,              0.0604,            0.013583,            0.025287,               0.646,                   0,             0.00865,             0.00865,             0.00865
                  47,            0.058263,            0.015496,            0.025172,             0.73687,                   0,             0.79533,            0.041667,            0.084737,             0.02617,            0.063564,             0.01329,            0.024921,             0.62744,                   0,             0.00862,             0.00862,             0.00862
                  48,            0.057123,            0.015404,            0.023997,              0.6868,                   0,             0.43658,            0.062703,            0.079294,            0.027624,            0.063805,            0.013073,            0.023804,             0.57812,                   0,             0.00859,             0.00859,             0.00859
                  49,            0.057095,            0.015211,            0.023483,             0.66999,                   0,           0.0040646,             0.90482,             0.08713,            0.026221,             0.06151,            0.013187,            0.023651,             0.56787,                   0,             0.00856,             0.00856,             0.00856
                  50,            0.055794,            0.015165,            0.022253,             0.64305,                   0,             0.42151,             0.11463,            0.096946,            0.028048,            0.063182,            0.012934,            0.022577,             0.52051,                   0,             0.00853,             0.00853,             0.00853
                  51,             0.05592,            0.014986,            0.021417,             0.62421,                   0,           0.0044166,             0.91687,            0.084113,            0.021377,            0.060395,            0.012981,             0.02276,             0.50342,                   0,              0.0085,              0.0085,              0.0085
                  52,            0.054111,             0.01493,            0.020852,              0.5912,                   0,            0.043723,             0.25986,            0.077574,            0.021193,            0.060782,            0.012845,            0.022107,             0.50244,                   0,             0.00847,             0.00847,             0.00847
                  53,            0.054257,            0.014788,            0.020229,             0.56183,                   0,            0.060365,             0.21391,            0.077682,            0.019407,             0.05989,            0.012802,            0.021674,             0.45752,                   0,             0.00844,             0.00844,             0.00844
                  54,            0.053517,            0.014727,             0.01996,              0.5457,                   0,           0.0038618,             0.90461,            0.073643,            0.019008,            0.058424,            0.012826,            0.021002,             0.44482,                   0,             0.00841,             0.00841,             0.00841
