# epoch,accuracy,precision,recall,f1_score
0,0.1934,0.0374,0.1934,0.0627
1,0.1934,0.0374,0.1934,0.0627
2,0.1934,0.0374,0.1934,0.0627
3,0.1934,0.0374,0.1934,0.0627
4,0.1934,0.0374,0.1934,0.0627
5,0.1934,0.0374,0.1934,0.0627
6,0.1934,0.0374,0.1934,0.0627
7,0.1934,0.0374,0.1934,0.0627
8,0.1934,0.0374,0.1934,0.0627
9,0.1934,0.0374,0.1934,0.0627
10,0.1934,0.0374,0.1934,0.0627
11,0.1934,0.0374,0.1934,0.0627
12,0.1934,0.0374,0.1934,0.0627
13,0.1934,0.0374,0.1934,0.0627
14,0.4862,0.2364,0.4862,0.3181
15,0.4862,0.2364,0.4862,0.3181
16,0.4862,0.2364,0.4862,0.3181
17,0.4862,0.2364,0.4862,0.3181
18,0.4862,0.2364,0.4862,0.3181
19,0.4862,0.2364,0.4862,0.3181
20,0.4862,0.2364,0.4862,0.3181
21,0.4862,0.2364,0.4862,0.3181
22,0.4862,0.2377,0.4862,0.3193
23,0.4917,0.3992,0.4917,0.3399
24,0.4917,0.5581,0.4917,0.3301
25,0.4917,0.3992,0.4917,0.3312
26,0.4917,0.3992,0.4917,0.3312
27,0.4862,0.2364,0.4862,0.3181
28,0.4862,0.2364,0.4862,0.3181
29,0.4862,0.2364,0.4862,0.3181
30,0.4862,0.2364,0.4862,0.3181
31,0.4862,0.2364,0.4862,0.3181
32,0.5801,0.4714,0.5801,0.5097
33,0.5635,0.4747,0.5635,0.5025
34,0.4751,0.5502,0.4751,0.4065
35,0.4751,0.5630,0.4751,0.4075
36,0.3978,0.5657,0.3978,0.2981
37,0.3315,0.5900,0.3315,0.1784
38,0.4088,0.5709,0.4088,0.3156
39,0.4586,0.5874,0.4586,0.3878
40,0.4365,0.5810,0.4365,0.3569
41,0.5746,0.5964,0.5746,0.5245
42,0.5912,0.5797,0.5912,0.5392
43,0.5304,0.5829,0.5304,0.4771
44,0.4254,0.5772,0.4254,0.3460
45,0.5249,0.6023,0.5249,0.4736
46,0.5691,0.6033,0.5691,0.5202
47,0.6188,0.5925,0.6188,0.5681
48,0.5028,0.6236,0.5028,0.4523
49,0.6906,0.7335,0.6906,0.6621
50,0.7624,0.7734,0.7624,0.7416
51,0.7017,0.7479,0.7017,0.7024
52,0.6464,0.7149,0.6464,0.6498
53,0.6961,0.7383,0.6961,0.7004
54,0.8122,0.8188,0.8122,0.8146
55,0.7845,0.8296,0.7845,0.7970
56,0.6630,0.7632,0.6630,0.6782
57,0.7348,0.8192,0.7348,0.7516
58,0.7790,0.8357,0.7790,0.7945
59,0.7348,0.8214,0.7348,0.7562
60,0.7901,0.8657,0.7901,0.7949
61,0.7680,0.8532,0.7680,0.7751
62,0.7293,0.8702,0.7293,0.7492
63,0.6685,0.8500,0.6685,0.6840
64,0.5580,0.8098,0.5580,0.5772
65,0.6409,0.8547,0.6409,0.6737
66,0.6077,0.8472,0.6077,0.6349
67,0.6685,0.8573,0.6685,0.6900
68,0.7459,0.8581,0.7459,0.7603
69,0.7293,0.8467,0.7293,0.7267
70,0.8066,0.8712,0.8066,0.8149
71,0.7680,0.8595,0.7680,0.7846
72,0.7182,0.8515,0.7182,0.7447
73,0.7569,0.8570,0.7569,0.7780
74,0.7901,0.8607,0.7901,0.7956
75,0.7735,0.8424,0.7735,0.7806
76,0.7680,0.8599,0.7680,0.7878
77,0.7293,0.8554,0.7293,0.7555
78,0.6243,0.8406,0.6243,0.6578
79,0.6630,0.8397,0.6630,0.6899
80,0.6133,0.8400,0.6133,0.6486
81,0.6188,0.8330,0.6188,0.6550
82,0.6961,0.8480,0.6961,0.7222
83,0.6851,0.8521,0.6851,0.7137
84,0.7459,0.8627,0.7459,0.7603
85,0.6961,0.8623,0.6961,0.7143
86,0.7238,0.8487,0.7238,0.7249
87,0.7072,0.8481,0.7072,0.7340
88,0.7514,0.8633,0.7514,0.7659
89,0.7459,0.8576,0.7459,0.7587
90,0.6906,0.8553,0.6906,0.7081
91,0.6133,0.8287,0.6133,0.6413
92,0.5580,0.8250,0.5580,0.5714
93,0.7017,0.8525,0.7017,0.7276
94,0.7735,0.8506,0.7735,0.7749
95,0.7624,0.8422,0.7624,0.7588
96,0.8122,0.8613,0.8122,0.8140
97,0.8287,0.8965,0.8287,0.8384
98,0.8232,0.8902,0.8232,0.8304
99,0.7901,0.8749,0.7901,0.7918
100,0.7514,0.8862,0.7514,0.7522
