# epoch,accuracy,precision,recall,f1_score
0,0.3056,0.2548,0.3056,0.2682
1,0.3444,0.2744,0.3444,0.2891
2,0.3722,0.2709,0.3722,0.3025
3,0.3944,0.3676,0.3944,0.3173
4,0.4167,0.2741,0.4167,0.3200
5,0.4222,0.2774,0.4222,0.3241
6,0.4778,0.2526,0.4778,0.3305
7,0.5111,0.2612,0.5111,0.3458
8,0.5111,0.2612,0.5111,0.3458
9,0.5111,0.2612,0.5111,0.3458
10,0.5111,0.2612,0.5111,0.3458
11,0.5111,0.2612,0.5111,0.3458
12,0.5167,0.5682,0.5167,0.3579
13,0.5889,0.5888,0.5889,0.4885
14,0.6722,0.6014,0.6722,0.5963
15,0.7056,0.5888,0.7056,0.6285
16,0.7222,0.5922,0.7222,0.6505
17,0.7333,0.6146,0.7333,0.6639
18,0.7333,0.6173,0.7333,0.6643
19,0.7222,0.6265,0.7222,0.6586
20,0.7222,0.6610,0.7222,0.6664
21,0.7000,0.6653,0.7000,0.6502
22,0.7333,0.6633,0.7333,0.6765
23,0.7556,0.6640,0.7556,0.6919
24,0.7556,0.6708,0.7556,0.6948
25,0.7667,0.6748,0.7667,0.7039
26,0.7722,0.6820,0.7722,0.7092
27,0.7889,0.6713,0.7889,0.7174
28,0.7889,0.6775,0.7889,0.7194
29,0.7833,0.6899,0.7833,0.7195
30,0.7778,0.6880,0.7778,0.7150
31,0.7333,0.6743,0.7333,0.6785
32,0.7333,0.8576,0.7333,0.6928
33,0.7389,0.6759,0.7389,0.6831
34,0.7444,0.6775,0.7444,0.6877
35,0.8056,0.8775,0.8056,0.7514
36,0.8111,0.8719,0.8111,0.7607
37,0.7944,0.8682,0.7944,0.7481
38,0.7944,0.8732,0.7944,0.7489
39,0.7667,0.8192,0.7667,0.7265
40,0.7611,0.8310,0.7611,0.7287
41,0.7667,0.8328,0.7667,0.7334
42,0.7667,0.8328,0.7667,0.7334
43,0.8111,0.8592,0.8111,0.7809
44,0.8222,0.8876,0.8222,0.7947
45,0.8111,0.8701,0.8111,0.8001
46,0.8278,0.8646,0.8278,0.8217
47,0.8722,0.9012,0.8722,0.8637
48,0.8944,0.9215,0.8944,0.8897
49,0.8833,0.9032,0.8833,0.8790
50,0.8222,0.8758,0.8222,0.8126
51,0.8278,0.8781,0.8278,0.8175
52,0.8889,0.9124,0.8889,0.8859
53,0.8500,0.8897,0.8500,0.8420
54,0.8556,0.8879,0.8556,0.8524
55,0.9056,0.9192,0.9056,0.9043
