# epoch,accuracy,precision,recall,f1_score
0,0.3520,0.3780,0.3520,0.3599
1,0.3128,0.2855,0.3128,0.2957
2,0.3799,0.2979,0.3799,0.3337
3,0.4860,0.3412,0.4860,0.3900
4,0.5307,0.3814,0.5307,0.3908
5,0.5251,0.2848,0.5251,0.3693
6,0.5587,0.5273,0.5587,0.4287
7,0.5754,0.5787,0.5754,0.4528
8,0.5978,0.5644,0.5978,0.4906
9,0.6425,0.5608,0.6425,0.5540
10,0.7318,0.5972,0.7318,0.6577
11,0.6816,0.5983,0.6816,0.6216
12,0.6648,0.6377,0.6648,0.6183
13,0.6872,0.6334,0.6872,0.6357
14,0.7263,0.6356,0.7263,0.6647
15,0.7374,0.6403,0.7374,0.6739
16,0.7374,0.6394,0.7374,0.6744
17,0.7374,0.6706,0.7374,0.6813
18,0.7263,0.6672,0.7263,0.6721
19,0.7151,0.6640,0.7151,0.6628
20,0.7039,0.6608,0.7039,0.6535
21,0.7095,0.6624,0.7095,0.6582
22,0.7039,0.6506,0.7039,0.6506
23,0.7263,0.6578,0.7263,0.6694
24,0.7486,0.6654,0.7486,0.6878
25,0.7542,0.8599,0.7542,0.7096
26,0.7542,0.8597,0.7542,0.7161
27,0.7486,0.7996,0.7486,0.7180
28,0.7654,0.7699,0.7654,0.7339
29,0.7654,0.7844,0.7654,0.7396
30,0.7542,0.7872,0.7542,0.7358
31,0.7207,0.7590,0.7207,0.7037
32,0.7263,0.7752,0.7263,0.7185
33,0.7207,0.7762,0.7207,0.7159
34,0.7318,0.7826,0.7318,0.7311
35,0.7486,0.8015,0.7486,0.7523
36,0.8212,0.8488,0.8212,0.8231
37,0.8380,0.8638,0.8380,0.8409
38,0.8212,0.8547,0.8212,0.8255
39,0.7877,0.8391,0.7877,0.7940
40,0.7821,0.8383,0.7821,0.7914
41,0.8156,0.8565,0.8156,0.8220
42,0.7877,0.8380,0.7877,0.7950
43,0.8212,0.8580,0.8212,0.8265
44,0.8436,0.8682,0.8436,0.8476
45,0.8436,0.8658,0.8436,0.8454
46,0.8380,0.8621,0.8380,0.8403
47,0.8436,0.8691,0.8436,0.8463
48,0.8659,0.8830,0.8659,0.8676
49,0.8603,0.8797,0.8603,0.8622
50,0.8771,0.8925,0.8771,0.8798
51,0.8268,0.8623,0.8268,0.8328
52,0.8547,0.8831,0.8547,0.8616
53,0.9050,0.9145,0.9050,0.9067
54,0.8212,0.8564,0.8212,0.8251
55,0.8324,0.8644,0.8324,0.8356
56,0.8380,0.8659,0.8380,0.8409
57,0.8547,0.8800,0.8547,0.8584
58,0.8883,0.9038,0.8883,0.8899
59,0.8827,0.8998,0.8827,0.8844
60,0.8659,0.8861,0.8659,0.8675
61,0.9050,0.9208,0.9050,0.9051
62,0.8939,0.9060,0.8939,0.8940
63,0.8268,0.8576,0.8268,0.8300
64,0.8156,0.8497,0.8156,0.8188
65,0.8212,0.8559,0.8212,0.8242
66,0.8547,0.8762,0.8547,0.8573
67,0.8659,0.8843,0.8659,0.8683
68,0.8659,0.8853,0.8659,0.8687
69,0.8771,0.8889,0.8771,0.8772
70,0.9106,0.9154,0.9106,0.9114
71,0.8436,0.8737,0.8436,0.8456
72,0.8156,0.8501,0.8156,0.8175
73,0.8603,0.8833,0.8603,0.8605
74,0.8715,0.8895,0.8715,0.8721
