# epoch,accuracy,precision,recall,f1_score
0,0.2944,0.2599,0.2944,0.2633
1,0.3389,0.2691,0.3389,0.2950
2,0.3944,0.2827,0.3944,0.3291
3,0.4444,0.2854,0.4444,0.3463
4,0.4611,0.5830,0.4611,0.3626
5,0.4667,0.2807,0.4667,0.3457
6,0.5111,0.2627,0.5111,0.3470
7,0.5167,0.5682,0.5167,0.3579
8,0.5056,0.2598,0.5056,0.3433
9,0.5111,0.2612,0.5111,0.3458
10,0.5111,0.2612,0.5111,0.3458
11,0.5111,0.2612,0.5111,0.3458
12,0.5111,0.2612,0.5111,0.3458
13,0.5111,0.2612,0.5111,0.3458
14,0.5111,0.2612,0.5111,0.3458
15,0.5111,0.2612,0.5111,0.3458
16,0.5222,0.5697,0.5222,0.3698
17,0.5389,0.5743,0.5389,0.4032
18,0.5333,0.5727,0.5333,0.3923
19,0.5333,0.5727,0.5333,0.3923
20,0.5444,0.5758,0.5444,0.4137
21,0.6167,0.5433,0.6167,0.5262
22,0.6333,0.5432,0.6333,0.5471
23,0.6833,0.5635,0.6833,0.6040
24,0.7000,0.5710,0.7000,0.6215
25,0.7556,0.6195,0.7556,0.6807
26,0.7611,0.6272,0.7611,0.6871
27,0.7722,0.6429,0.7722,0.6994
28,0.7722,0.6578,0.7722,0.7035
29,0.7778,0.6674,0.7778,0.7098
30,0.7833,0.6698,0.7833,0.7143
31,0.7944,0.6831,0.7944,0.7250
32,0.8056,0.6943,0.8056,0.7361
33,0.8056,0.6898,0.8056,0.7352
34,0.7889,0.6918,0.7889,0.7239
35,0.7889,0.6918,0.7889,0.7239
36,0.7889,0.6880,0.7889,0.7227
37,0.7889,0.6880,0.7889,0.7227
38,0.7833,0.6899,0.7833,0.7195
39,0.7778,0.6880,0.7778,0.7150
40,0.7722,0.6862,0.7722,0.7105
41,0.7889,0.6918,0.7889,0.7239
42,0.7889,0.6918,0.7889,0.7239
43,0.7944,0.6938,0.7944,0.7284
44,0.7889,0.6918,0.7889,0.7239
45,0.7778,0.6880,0.7778,0.7150
46,0.7944,0.6938,0.7944,0.7284
47,0.7944,0.6938,0.7944,0.7284
48,0.8056,0.6978,0.8056,0.7373
49,0.8111,0.6999,0.8111,0.7417
50,0.8111,0.6999,0.8111,0.7417
51,0.8167,0.8265,0.8167,0.7626
52,0.8389,0.8914,0.8389,0.7974
53,0.8444,0.8938,0.8444,0.8073
54,0.8500,0.8964,0.8500,0.8169
55,0.8500,0.8994,0.8500,0.8178
56,0.8611,0.9045,0.8611,0.8359
57,0.8667,0.9043,0.8667,0.8435
58,0.8889,0.9160,0.8889,0.8753
59,0.8889,0.9076,0.8889,0.8776
60,0.9222,0.9313,0.9222,0.9182
61,0.9500,0.9556,0.9500,0.9484
62,0.9500,0.9556,0.9500,0.9484
63,0.9389,0.9474,0.9389,0.9362
64,0.9333,0.9414,0.9333,0.9312
65,0.9389,0.9457,0.9389,0.9373
66,0.9389,0.9457,0.9389,0.9373
67,0.9333,0.9417,0.9333,0.9321
68,0.9667,0.9684,0.9667,0.9665
69,0.9611,0.9636,0.9611,0.9608
70,0.9556,0.9590,0.9556,0.9551
71,0.9722,0.9734,0.9722,0.9722
72,0.9667,0.9678,0.9667,0.9667
73,0.9611,0.9627,0.9611,0.9611
74,0.9667,0.9678,0.9667,0.9667
75,0.9667,0.9678,0.9667,0.9667
76,0.9722,0.9734,0.9722,0.9722
77,0.9611,0.9626,0.9611,0.9613
78,0.9556,0.9577,0.9556,0.9558
79,0.9667,0.9680,0.9667,0.9668
80,0.9722,0.9731,0.9722,0.9723
81,0.9611,0.9626,0.9611,0.9613
82,0.9444,0.9476,0.9444,0.9449
83,0.9667,0.9678,0.9667,0.9667
84,0.9722,0.9731,0.9722,0.9723
85,0.9722,0.9731,0.9722,0.9723
86,0.9667,0.9678,0.9667,0.9667
87,0.9667,0.9678,0.9667,0.9667
88,0.9611,0.9631,0.9611,0.9613
89,0.9500,0.9530,0.9500,0.9503
90,0.9500,0.9530,0.9500,0.9503
91,0.9611,0.9626,0.9611,0.9613
92,0.9611,0.9632,0.9611,0.9614
93,0.9278,0.9369,0.9278,0.9288
94,0.8944,0.9131,0.8944,0.8964
95,0.9444,0.9487,0.9444,0.9452
96,0.9611,0.9632,0.9611,0.9614
97,0.9667,0.9680,0.9667,0.9668
98,0.9500,0.9530,0.9500,0.9503
99,0.9500,0.9530,0.9500,0.9503
100,0.9444,0.9483,0.9444,0.9449
101,0.9444,0.9483,0.9444,0.9449
102,0.9611,0.9632,0.9611,0.9614
103,0.9667,0.9680,0.9667,0.9668
104,0.9722,0.9731,0.9722,0.9723
105,0.9667,0.9680,0.9667,0.9668
106,0.9444,0.9483,0.9444,0.9449
107,0.9556,0.9587,0.9556,0.9561
108,0.9556,0.9577,0.9556,0.9558
109,0.9667,0.9678,0.9667,0.9667
110,0.9500,0.9531,0.9500,0.9505
111,0.9500,0.9530,0.9500,0.9503
112,0.9556,0.9587,0.9556,0.9561
113,0.9611,0.9626,0.9611,0.9613
114,0.9611,0.9626,0.9611,0.9613
115,0.9500,0.9530,0.9500,0.9503
116,0.9278,0.9359,0.9278,0.9289
117,0.9222,0.9313,0.9222,0.9233
118,0.9222,0.9313,0.9222,0.9233
119,0.9500,0.9530,0.9500,0.9503
120,0.9500,0.9530,0.9500,0.9503
121,0.9444,0.9483,0.9444,0.9449
122,0.9444,0.9483,0.9444,0.9449
123,0.9444,0.9483,0.9444,0.9449
124,0.9389,0.9440,0.9389,0.9396
125,0.9167,0.9276,0.9167,0.9180
126,0.9278,0.9359,0.9278,0.9289
127,0.9444,0.9496,0.9444,0.9451
128,0.9389,0.9455,0.9389,0.9398
129,0.9278,0.9359,0.9278,0.9289
130,0.9389,0.9455,0.9389,0.9398
131,0.9333,0.9413,0.9333,0.9347
132,0.9444,0.9501,0.9444,0.9456
133,0.9667,0.9680,0.9667,0.9668
