               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss, train/cls_task_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,   val/cls_task_loss,               x/lr0,               x/lr1,               x/lr2
                  30,            0.033681,           0.0024965,           0.0028897,            0.040438,           0.0053872,              0.8955,            0.090991,            0.027806,            0.035408,           0.0024651,           0.0027562,             0.22974,             0.00913,             0.00913,             0.00913
                  31,            0.032362,           0.0025065,           0.0028419,            0.038142,           0.0047734,             0.92267,            0.089168,            0.029064,            0.033379,           0.0025362,           0.0027342,             0.22729,              0.0091,              0.0091,              0.0091
                  32,            0.031861,            0.002459,           0.0028263,             0.03655,           0.0048823,             0.94597,              0.1069,            0.032828,            0.032836,           0.0024544,           0.0027058,             0.22437,             0.00907,             0.00907,             0.00907
                  33,            0.031787,            0.002386,           0.0027794,            0.035364,            0.004515,             0.91879,              0.1176,            0.031855,            0.035465,           0.0021723,           0.0026624,             0.23499,             0.00904,             0.00904,             0.00904
                  34,            0.030784,           0.0023433,           0.0027345,            0.039015,           0.0043071,             0.95095,             0.12125,            0.035792,             0.03505,           0.0020945,           0.0026262,             0.22656,             0.00901,             0.00901,             0.00901
                  35,            0.031266,           0.0022026,           0.0026787,            0.033333,            0.050871,             0.53248,             0.13245,             0.03591,            0.032183,           0.0021481,            0.002585,             0.23511,             0.00898,             0.00898,             0.00898
                  36,            0.030874,           0.0021272,           0.0026531,            0.031612,             0.36731,             0.31231,              0.1439,            0.036924,            0.034802,           0.0018925,           0.0025575,             0.24158,             0.00895,             0.00895,             0.00895
                  37,            0.030566,           0.0020147,            0.002606,            0.037121,             0.38549,              0.3072,             0.12878,            0.028981,            0.034785,           0.0018122,           0.0025479,             0.24585,             0.00892,             0.00892,             0.00892
                  38,            0.030597,           0.0019327,           0.0025847,            0.033998,             0.37822,             0.32101,             0.16426,            0.047514,            0.033173,           0.0017828,           0.0025159,             0.26318,             0.00889,             0.00889,             0.00889
                  39,            0.029922,           0.0018565,           0.0025578,             0.04037,              0.4011,              0.3392,             0.18638,            0.062182,             0.03209,           0.0017535,           0.0024829,             0.25073,             0.00886,             0.00886,             0.00886
                  40,            0.029899,           0.0018169,            0.002562,            0.035855,             0.40801,             0.28202,             0.16104,            0.048418,            0.033827,           0.0016161,           0.0024646,             0.25269,             0.00883,             0.00883,             0.00883
                  41,            0.029119,           0.0017227,           0.0025241,            0.032498,             0.43545,             0.26847,             0.17414,            0.050149,            0.035668,           0.0014844,           0.0024367,             0.24316,              0.0088,              0.0088,              0.0088
                  42,            0.029445,           0.0016442,           0.0024522,            0.032508,             0.43707,             0.30604,             0.20257,             0.06502,            0.033027,           0.0014949,           0.0023822,             0.26733,             0.00877,             0.00877,             0.00877
                  43,            0.029225,           0.0015966,           0.0023903,            0.032743,               0.408,             0.26023,             0.20544,            0.062328,            0.032997,           0.0014559,           0.0023506,             0.25171,             0.00874,             0.00874,             0.00874
                  44,            0.028995,           0.0015746,           0.0024515,             0.03849,              0.4031,             0.23987,             0.19498,            0.063777,            0.033591,           0.0014176,           0.0023117,             0.25293,             0.00871,             0.00871,             0.00871
                  45,            0.028752,           0.0015079,           0.0023858,            0.033958,             0.41537,             0.26714,             0.19048,            0.062471,            0.034523,           0.0013612,           0.0022961,             0.25928,             0.00868,             0.00868,             0.00868
                  46,            0.028052,            0.001506,           0.0023866,            0.033499,             0.45597,              0.2839,             0.20548,            0.074768,            0.034296,           0.0013335,            0.002287,             0.27808,             0.00865,             0.00865,             0.00865
                  47,            0.028266,           0.0014731,             0.00235,            0.033322,             0.46174,             0.28352,             0.22731,            0.075742,            0.033106,           0.0013369,           0.0022595,             0.26172,             0.00862,             0.00862,             0.00862
                  48,            0.027854,           0.0014265,           0.0022756,            0.037114,             0.49472,             0.27102,             0.23627,             0.08602,            0.031551,            0.001342,           0.0022046,              0.2749,             0.00859,             0.00859,             0.00859
                  49,            0.027598,            0.001402,           0.0022446,            0.034594,             0.47035,              0.3047,             0.24891,            0.083473,            0.034265,           0.0012774,           0.0021785,             0.27563,             0.00856,             0.00856,             0.00856
                  50,            0.027289,           0.0013828,           0.0022496,            0.033871,             0.46147,             0.30477,             0.24906,            0.085426,            0.033253,           0.0012692,           0.0021735,             0.26489,             0.00853,             0.00853,             0.00853
                  51,            0.027228,           0.0013568,           0.0022076,            0.036511,             0.48995,             0.31071,             0.26498,            0.089723,            0.034624,           0.0012232,           0.0021721,             0.26929,              0.0085,              0.0085,              0.0085
                  52,             0.02691,           0.0013767,           0.0022361,            0.036322,             0.57636,              0.2987,             0.29165,             0.10683,            0.031919,           0.0012495,            0.002168,             0.28174,             0.00847,             0.00847,             0.00847
