                  epoch,             train/loss,              test/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,                   lr/0
                     95,                0.45178,                0.51019,                0.89869,                      1,              0.0006832
                     96,                0.43966,                0.38954,                0.97059,                      1,              0.0006799
                     97,                0.43555,                0.39123,                0.95752,                      1,              0.0006766
                     98,                0.43722,                0.40449,                0.95425,                      1,              0.0006733
                     99,                0.43996,                0.45631,                 0.9281,                      1,                0.00067
                    100,                0.44114,                0.41881,                0.96078,                      1,              0.0006667
                    101,                0.45507,                0.45959,                0.93464,                      1,              0.0006634
                    102,                0.44314,                0.43162,                0.95098,                      1,              0.0006601
                    103,                0.44565,                0.40542,                0.97059,                      1,              0.0006568
                    104,                0.44519,                0.41347,                0.95098,                      1,              0.0006535
                    105,                0.43389,                0.41855,                0.94118,                      1,              0.0006502
                    106,                0.45999,                0.50429,                 0.9085,                      1,              0.0006469
                    107,                0.47502,                0.51927,                0.92484,                      1,              0.0006436
                    108,                0.45118,                0.45721,                0.94444,                      1,              0.0006403
                    109,                0.46472,                0.44191,                0.93791,                      1,               0.000637
                    110,                0.44897,                0.40323,                0.96732,                      1,              0.0006337
                    111,                0.43543,                0.53214,                0.88562,                      1,              0.0006304
                    112,                0.45911,                0.46421,                0.91503,                      1,              0.0006271
                    113,                0.44827,                0.45016,                 0.9281,                      1,              0.0006238
                    114,                0.44933,                0.42167,                0.94771,                      1,              0.0006205
                    115,                0.43311,                0.42249,                0.95752,                      1,              0.0006172
                    116,                0.43206,                0.41428,                0.95098,                      1,              0.0006139
                    117,                0.44907,                0.40777,                0.95752,                      1,              0.0006106
                    118,                0.42764,                0.40373,                0.94771,                      1,              0.0006073
                    119,                0.43562,                0.44125,                0.94444,                      1,               0.000604
                    120,                0.45031,                0.43853,                0.94771,                      1,              0.0006007
                    121,                0.43744,                0.43845,                0.94444,                      1,              0.0005974
                    122,                0.47187,                0.40515,                0.96078,                      1,              0.0005941
                    123,                 0.4528,                0.62052,                 0.8366,                      1,              0.0005908
                    124,                0.44586,                0.45837,                0.93791,                      1,              0.0005875
                    125,                0.42171,                0.44331,                0.95098,                      1,              0.0005842
                    126,                0.42282,                0.42312,                0.96078,                      1,              0.0005809
                    127,                0.42667,                0.44251,                0.93137,                      1,              0.0005776
                    128,                0.42122,                0.42111,                0.96405,                      1,              0.0005743
                    129,                0.41377,                0.42005,                0.96078,                      1,               0.000571
                    130,                0.43401,                0.43827,                0.95098,                      1,              0.0005677
                    131,                0.41129,                0.47168,                0.92484,                      1,              0.0005644
                    132,                0.39745,                0.43503,                0.94771,                      1,              0.0005611
                    133,                0.44014,                0.40651,                0.95425,                      1,              0.0005578
                    134,                0.40827,                0.41637,                0.93464,                      1,              0.0005545
                    135,                0.40451,                0.41666,                0.95752,                      1,              0.0005512
                    136,                0.41148,                0.40013,                0.96405,                      1,              0.0005479
                    137,                0.42015,                0.38983,                0.95752,                      1,              0.0005446
                    138,                0.41356,                0.43988,                0.95425,                      1,              0.0005413
                    139,                0.42592,                0.43427,                0.95098,                      1,               0.000538
                    140,                0.43956,                0.41641,                0.95425,                      1,              0.0005347
                    141,                0.41242,                0.40714,                0.96078,                      1,              0.0005314
                    142,                 0.4101,                0.41688,                0.95098,                      1,              0.0005281
                    143,                0.42346,                0.39905,                0.96078,                      1,              0.0005248
                    144,                0.41207,                0.41379,                0.95752,                      1,              0.0005215
                    145,                0.42277,                0.41602,                0.96732,                      1,              0.0005182
                    146,                 0.4341,                0.45185,                0.94444,                      1,              0.0005149
                    147,                 0.4156,                0.39967,                0.96732,                      1,              0.0005116
                    148,                0.40671,                0.43133,                0.95425,                      1,              0.0005083
                    149,                0.42213,                0.43353,                0.96732,                      1,               0.000505
                    150,                 0.4063,                0.45778,                 0.9281,                      1,              0.0005017
                    151,                0.39119,                0.39411,                0.95752,                      1,              0.0004984
                    152,                0.40423,                0.42486,                0.95752,                      1,              0.0004951
                    153,                0.41192,                0.40069,                0.95752,                      1,              0.0004918
                    154,                0.40475,                0.39585,                0.96405,                      1,              0.0004885
                    155,                0.40917,                 0.4007,                0.95752,                      1,              0.0004852
                    156,                0.39216,                0.40594,                0.94771,                      1,              0.0004819
                    157,                0.42605,                0.40084,                0.96732,                      1,              0.0004786
                    158,                 0.4272,                0.46973,                0.95098,                      1,              0.0004753
                    159,                0.41443,                0.41833,                0.95752,                      1,               0.000472
                    160,                0.42455,                0.39833,                0.97386,                      1,              0.0004687
                    161,                0.41077,                0.42092,                0.95425,                      1,              0.0004654
                    162,                0.43022,                 0.4116,                0.95098,                      1,              0.0004621
                    163,                  0.432,                0.40426,                0.94771,                      1,              0.0004588
                    164,                0.41624,                0.40199,                0.97059,                      1,              0.0004555
                    165,                0.42735,                0.39837,                0.96732,                      1,              0.0004522
                    166,                0.43219,                0.42122,                0.94118,                      1,              0.0004489
