               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss, train/cls_task_loss,train/constraint_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,   val/cls_task_loss, val/constraint_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11214,            0.014294,            0.052461,              1.1748,                   0,                   0,                   0,                   0,                   0,             0.11395,            0.011667,            0.054895,              1.1904,                   0,              0.0937,              0.0007,              0.0007
                   1,             0.11251,            0.014272,             0.05291,              1.1768,                   0,                   0,                   0,                   0,                   0,             0.11362,            0.011693,            0.055078,              1.1787,                   0,            0.086496,           0.0014955,           0.0014955
                   2,             0.11274,            0.014213,            0.053546,              1.1648,                   0,          8.9902e-05,                0.05,          5.5698e-05,          1.1451e-05,             0.11345,            0.011714,            0.054956,              1.1777,                   0,            0.079286,           0.0022862,           0.0022862
                   3,             0.11217,            0.014307,            0.052582,              1.1585,                   0,          8.9902e-05,                0.05,          5.6644e-05,          1.1219e-05,             0.11359,            0.011686,            0.054749,              1.1846,                   0,            0.072072,           0.0030721,           0.0030721
                   4,             0.11162,             0.01433,            0.052282,              1.1748,                   0,          8.9902e-05,                0.05,          5.9683e-05,          1.1691e-05,             0.11337,            0.011701,            0.054297,              1.1816,                   0,            0.064853,           0.0038532,           0.0038532
                   5,             0.11102,            0.014387,            0.052451,              1.1699,                   0,          8.9902e-05,                0.05,          5.4765e-05,          1.0538e-05,             0.11199,             0.01184,            0.053418,              1.1787,                   0,             0.05763,           0.0046295,           0.0046295
                   6,             0.11053,            0.014451,            0.051825,              1.1638,                   0,          8.9902e-05,                0.05,          5.5238e-05,          1.0985e-05,              0.1111,            0.011927,            0.052454,              1.1826,                   0,            0.050401,            0.005401,            0.005401
                   7,             0.10991,            0.014539,            0.051456,              1.1601,                   0,          0.00013905,            0.091667,          8.6054e-05,          2.0594e-05,             0.11067,            0.011962,            0.052966,              1.1982,                   0,            0.043168,           0.0061677,           0.0061677
                   8,             0.10882,            0.014612,            0.050719,              1.1503,                   0,          9.8074e-05,            0.054545,          6.0111e-05,          1.1913e-05,             0.10954,            0.012072,            0.052332,              1.1738,                   0,             0.03593,           0.0069296,           0.0069296
                   9,             0.10846,             0.01466,            0.050638,              1.1472,                   0,          0.00010625,            0.059091,          6.5988e-05,          1.2066e-05,              0.1086,            0.012158,            0.051746,              1.1445,                   0,            0.028687,           0.0076867,           0.0076867
                  10,             0.10715,            0.014859,            0.050288,               1.134,                   0,          0.00022112,              0.1678,          0.00015142,          3.2397e-05,             0.10781,             0.01223,            0.051526,              1.1455,                   0,            0.021439,            0.008439,            0.008439
                  11,             0.10611,            0.014932,            0.049899,              1.1219,                   0,          0.00027911,             0.21402,           0.0002065,          4.2824e-05,             0.10685,            0.012317,             0.05127,               1.126,                   0,            0.014186,           0.0091865,           0.0091865
                  12,             0.10513,            0.015012,            0.049886,              1.1155,                   0,          0.00024966,              0.1697,          0.00018102,          3.5195e-05,             0.10443,            0.012552,            0.050293,              1.1328,                   0,             0.00964,             0.00964,             0.00964
                  13,             0.10359,            0.015141,            0.049126,              1.1131,                   0,          0.00028142,             0.19962,          0.00021126,           3.988e-05,             0.10309,            0.012633,            0.049646,              1.1299,                   0,             0.00964,             0.00964,             0.00964
                  14,             0.10254,             0.01522,            0.048624,               1.108,                   0,          0.00029266,              0.2322,          0.00022744,          4.1318e-05,              0.1013,            0.012858,            0.049243,              1.1367,                   0,             0.00961,             0.00961,             0.00961
                  15,             0.10132,            0.015297,              0.0482,              1.1115,                   0,          0.00012873,             0.16402,           0.0001144,          2.4056e-05,             0.10023,            0.012969,            0.048547,              1.1211,                   0,             0.00958,             0.00958,             0.00958
                  16,             0.10015,            0.015439,            0.047846,              1.1062,                   0,          9.9086e-05,             0.15492,          9.4889e-05,          2.1308e-05,            0.099171,            0.013071,            0.048206,              1.1055,                   0,             0.00955,             0.00955,             0.00955
                  17,            0.099794,            0.015534,            0.047661,               1.102,                   0,          0.00012216,             0.14318,          9.5872e-05,          1.8626e-05,            0.098824,            0.013081,            0.048059,              1.0898,                   0,             0.00952,             0.00952,             0.00952
                  18,             0.09909,            0.015518,            0.047452,              1.0985,                   0,           0.0013957,             0.15748,           0.0014013,          0.00028052,            0.097944,            0.013198,            0.047632,              1.0771,                   0,             0.00949,             0.00949,             0.00949
                  19,            0.098512,            0.015606,             0.04702,              1.0901,                   0,          0.00022241,             0.15417,          0.00015098,          2.5916e-05,             0.09702,            0.013282,            0.047327,              1.0791,                   0,             0.00946,             0.00946,             0.00946
                  20,            0.098175,            0.015633,            0.047025,              1.0939,                   0,          0.00052036,             0.15369,           0.0034773,           0.0013358,            0.095509,             0.01348,            0.046997,              1.0693,                   0,             0.00943,             0.00943,             0.00943
                  21,            0.096685,             0.01582,            0.046722,              1.0842,                   0,          0.00051508,             0.16733,          0.00064249,          0.00010978,            0.094831,            0.013501,            0.046729,              1.0664,                   0,              0.0094,              0.0094,              0.0094
                  22,            0.096464,            0.015799,            0.046567,              1.0817,                   0,           0.0005117,             0.16809,           0.0019767,          0.00024945,            0.093657,            0.013651,            0.046692,              1.0576,                   0,             0.00937,             0.00937,             0.00937
                  23,            0.095145,            0.015913,            0.046411,              1.0869,                   0,          0.00056651,             0.19725,          0.00092874,          0.00018459,            0.092695,            0.013717,            0.046265,              1.0596,                   0,             0.00934,             0.00934,             0.00934
