# epoch,accuracy,precision,recall,f1_score
0,0.3222,0.2963,0.3222,0.3019
1,0.3000,0.2469,0.3000,0.2680
2,0.3778,0.2675,0.3778,0.3095
3,0.4611,0.2743,0.4611,0.3337
4,0.5056,0.2613,0.5056,0.3445
5,0.5111,0.2612,0.5111,0.3458
6,0.5167,0.5682,0.5167,0.3579
7,0.6000,0.5761,0.6000,0.5046
8,0.6500,0.5820,0.6500,0.5720
9,0.6944,0.5878,0.6944,0.6218
10,0.7444,0.6075,0.7444,0.6686
11,0.6667,0.5900,0.6667,0.6072
12,0.6167,0.5912,0.6167,0.5669
13,0.6333,0.6031,0.6333,0.5837
14,0.7111,0.6327,0.7111,0.6523
15,0.7500,0.6425,0.7500,0.6830
16,0.7500,0.6425,0.7500,0.6830
17,0.7722,0.6588,0.7722,0.7033
18,0.7778,0.6586,0.7778,0.7069
19,0.7889,0.6617,0.7889,0.7152
20,0.7889,0.6586,0.7889,0.7146
21,0.7833,0.6588,0.7833,0.7107
22,0.7833,0.6588,0.7833,0.7107
23,0.8056,0.8520,0.8056,0.7573
24,0.8444,0.8746,0.8444,0.8158
25,0.8722,0.8951,0.8722,0.8630
26,0.8778,0.9034,0.8778,0.8711
27,0.8833,0.9019,0.8833,0.8798
28,0.9056,0.9132,0.9056,0.9035
29,0.9111,0.9172,0.9111,0.9105
30,0.9278,0.9306,0.9278,0.9274
31,0.9167,0.9227,0.9167,0.9172
32,0.9389,0.9427,0.9389,0.9395
33,0.9389,0.9427,0.9389,0.9395
34,0.9389,0.9427,0.9389,0.9395
35,0.9444,0.9479,0.9444,0.9450
36,0.9333,0.9389,0.9333,0.9343
37,0.9111,0.9226,0.9111,0.9127
38,0.9000,0.9165,0.9000,0.9030
39,0.9167,0.9266,0.9167,0.9186
40,0.9389,0.9420,0.9389,0.9397
41,0.9500,0.9528,0.9500,0.9506
42,0.9333,0.9402,0.9333,0.9348
43,0.9444,0.9492,0.9444,0.9454
44,0.9389,0.9457,0.9389,0.9400
45,0.9333,0.9411,0.9333,0.9350
46,0.9333,0.9404,0.9333,0.9348
47,0.9167,0.9313,0.9167,0.9193
48,0.9056,0.9229,0.9056,0.9081
49,0.9111,0.9250,0.9111,0.9134
50,0.9222,0.9318,0.9222,0.9238
51,0.9000,0.9184,0.9000,0.9033
52,0.9111,0.9243,0.9111,0.9137
53,0.9444,0.9487,0.9444,0.9452
54,0.9167,0.9273,0.9167,0.9189
55,0.9111,0.9236,0.9111,0.9139
56,0.8944,0.9170,0.8944,0.8992
57,0.8889,0.9137,0.8889,0.8935
58,0.9056,0.9193,0.9056,0.9078
59,0.9333,0.9385,0.9333,0.9345
60,0.8611,0.8849,0.8611,0.8627
61,0.8500,0.8739,0.8500,0.8517
62,0.9000,0.9124,0.9000,0.9010
63,0.9500,0.9518,0.9500,0.9504
64,0.9500,0.9515,0.9500,0.9504
65,0.9333,0.9375,0.9333,0.9340
66,0.9556,0.9566,0.9556,0.9558
67,0.9500,0.9515,0.9500,0.9504
68,0.9278,0.9351,0.9278,0.9292
69,0.9389,0.9439,0.9389,0.9399
70,0.9444,0.9472,0.9444,0.9449
71,0.9111,0.9199,0.9111,0.9123
72,0.9000,0.9130,0.9000,0.9017
73,0.9389,0.9447,0.9389,0.9399
74,0.9167,0.9309,0.9167,0.9190
75,0.8611,0.8880,0.8611,0.8634
76,0.8833,0.8999,0.8833,0.8853
77,0.8889,0.9046,0.8889,0.8913
78,0.9000,0.9163,0.9000,0.9017
79,0.8889,0.9088,0.8889,0.8906
80,0.9111,0.9247,0.9111,0.9128
81,0.9111,0.9247,0.9111,0.9128
82,0.9389,0.9448,0.9389,0.9395
83,0.8889,0.9045,0.8889,0.8902
84,0.9222,0.9293,0.9222,0.9228
85,0.9222,0.9293,0.9222,0.9227
86,0.9167,0.9263,0.9167,0.9171
87,0.9500,0.9533,0.9500,0.9500
88,0.9444,0.9502,0.9444,0.9440
89,0.9333,0.9375,0.9333,0.9334
90,0.8833,0.8995,0.8833,0.8850
91,0.9389,0.9426,0.9389,0.9391
92,0.9500,0.9530,0.9500,0.9503
93,0.9333,0.9374,0.9333,0.9338
94,0.9389,0.9452,0.9389,0.9395
95,0.9500,0.9540,0.9500,0.9504
96,0.9556,0.9569,0.9556,0.9557
97,0.9611,0.9621,0.9611,0.9612
98,0.9667,0.9682,0.9667,0.9668
99,0.9500,0.9528,0.9500,0.9502
100,0.9111,0.9183,0.9111,0.9119
101,0.9278,0.9312,0.9278,0.9282
102,0.9278,0.9320,0.9278,0.9283
103,0.9333,0.9385,0.9333,0.9339
104,0.9500,0.9524,0.9500,0.9506
105,0.9056,0.9197,0.9056,0.9070
106,0.8889,0.9075,0.8889,0.8910
107,0.9500,0.9538,0.9500,0.9505
108,0.9556,0.9569,0.9556,0.9557
109,0.9500,0.9533,0.9500,0.9500
110,0.8778,0.8945,0.8778,0.8787
111,0.8889,0.9057,0.8889,0.8900
112,0.9556,0.9587,0.9556,0.9561
113,0.9556,0.9565,0.9556,0.9557
114,0.9389,0.9440,0.9389,0.9396
115,0.9333,0.9385,0.9333,0.9340
116,0.9333,0.9383,0.9333,0.9337
117,0.9500,0.9533,0.9500,0.9503
118,0.9667,0.9675,0.9667,0.9668
119,0.9611,0.9618,0.9611,0.9613
120,0.9556,0.9584,0.9556,0.9558
121,0.9056,0.9219,0.9056,0.9071
122,0.9222,0.9299,0.9222,0.9231
123,0.9278,0.9353,0.9278,0.9286
124,0.9500,0.9536,0.9500,0.9503
125,0.9111,0.9233,0.9111,0.9116
126,0.9278,0.9362,0.9278,0.9285
127,0.9667,0.9682,0.9667,0.9668
128,0.9611,0.9620,0.9611,0.9613
129,0.9556,0.9569,0.9556,0.9559
130,0.9556,0.9569,0.9556,0.9559
131,0.9556,0.9569,0.9556,0.9559
132,0.9611,0.9620,0.9611,0.9613
133,0.9667,0.9675,0.9667,0.9669
134,0.9667,0.9680,0.9667,0.9668
135,0.9333,0.9394,0.9333,0.9340
136,0.9278,0.9366,0.9278,0.9296
137,0.9222,0.9335,0.9222,0.9241
138,0.9667,0.9680,0.9667,0.9668
139,0.9722,0.9731,0.9722,0.9723
140,0.9611,0.9630,0.9611,0.9616
141,0.9667,0.9680,0.9667,0.9668
142,0.9667,0.9680,0.9667,0.9668
143,0.9667,0.9678,0.9667,0.9667
144,0.9667,0.9675,0.9667,0.9668
145,0.9556,0.9581,0.9556,0.9556
146,0.9667,0.9686,0.9667,0.9668
147,0.9611,0.9618,0.9611,0.9613
148,0.9500,0.9521,0.9500,0.9506
149,0.9500,0.9535,0.9500,0.9507
150,0.9333,0.9394,0.9333,0.9340
151,0.9278,0.9377,0.9278,0.9295
152,0.9556,0.9577,0.9556,0.9558
153,0.9611,0.9631,0.9611,0.9613
154,0.9500,0.9533,0.9500,0.9503
155,0.9611,0.9632,0.9611,0.9614
