# epoch,accuracy,precision,recall,f1_score
0,0.3260,0.1063,0.3260,0.1603
1,0.3260,0.1063,0.3260,0.1603
2,0.3260,0.1063,0.3260,0.1603
3,0.3260,0.1063,0.3260,0.1603
4,0.3260,0.1063,0.3260,0.1603
5,0.4917,0.2418,0.4917,0.3242
6,0.4917,0.2418,0.4917,0.3242
7,0.4917,0.2418,0.4917,0.3242
8,0.4917,0.2418,0.4917,0.3242
9,0.4917,0.2418,0.4917,0.3242
10,0.4917,0.2418,0.4917,0.3242
11,0.4917,0.2418,0.4917,0.3242
12,0.4917,0.2418,0.4917,0.3242
13,0.4917,0.2418,0.4917,0.3242
14,0.4917,0.2418,0.4917,0.3242
15,0.4917,0.2418,0.4917,0.3242
16,0.4917,0.2418,0.4917,0.3242
17,0.4917,0.2418,0.4917,0.3242
18,0.4917,0.2418,0.4917,0.3242
19,0.4917,0.2418,0.4917,0.3242
20,0.4917,0.2418,0.4917,0.3242
21,0.4917,0.2418,0.4917,0.3242
22,0.4917,0.2418,0.4917,0.3242
23,0.4917,0.2445,0.4917,0.3266
24,0.4917,0.2431,0.4917,0.3254
25,0.4917,0.2431,0.4917,0.3254
26,0.4972,0.4254,0.4972,0.3361
27,0.4917,0.2418,0.4917,0.3242
28,0.4917,0.2418,0.4917,0.3242
29,0.4917,0.2418,0.4917,0.3242
30,0.4917,0.2418,0.4917,0.3242
31,0.4917,0.2418,0.4917,0.3242
32,0.4917,0.2418,0.4917,0.3242
33,0.4917,0.3992,0.4917,0.4022
34,0.5470,0.4525,0.5470,0.4764
35,0.5249,0.4288,0.5249,0.4589
36,0.5028,0.4170,0.5028,0.4533
37,0.4475,0.4056,0.4475,0.3826
38,0.3370,0.3533,0.3370,0.2007
39,0.3425,0.3896,0.3425,0.2033
40,0.3481,0.5026,0.3481,0.2055
41,0.3591,0.6942,0.3591,0.2342
42,0.3757,0.1879,0.3757,0.2486
43,0.3812,0.1999,0.3812,0.2491
44,0.3867,0.2118,0.3867,0.2697
45,0.3536,0.2222,0.3536,0.2567
46,0.2652,0.2383,0.2652,0.1925
47,0.1989,0.3598,0.1989,0.0886
48,0.2155,0.3603,0.2155,0.1180
49,0.1934,0.3596,0.1934,0.0781
50,0.2155,0.3603,0.2155,0.1180
51,0.2265,0.3607,0.2265,0.1363
52,0.2762,0.8313,0.2762,0.2198
53,0.2320,0.3609,0.2320,0.1450
54,0.2099,0.3602,0.2099,0.1085
55,0.1934,0.3596,0.1934,0.0781
56,0.1878,0.3594,0.1878,0.0674
57,0.2044,0.3600,0.2044,0.0987
58,0.2044,0.3600,0.2044,0.0987
59,0.3646,0.8583,0.3646,0.3556
60,0.2099,0.3602,0.2099,0.1085
61,0.2099,0.3602,0.2099,0.1085
62,0.4807,0.8651,0.4807,0.4799
63,0.3812,0.8592,0.3812,0.3757
64,0.3094,0.8558,0.3094,0.2823
65,0.3370,0.8570,0.3370,0.2803
66,0.3039,0.3499,0.3039,0.2379
67,0.3094,0.3507,0.3094,0.2440
68,0.3204,0.8562,0.3204,0.2728
69,0.2597,0.8537,0.2597,0.1988
70,0.4862,0.8654,0.4862,0.5168
71,0.2265,0.3607,0.2265,0.1363
72,0.2320,0.8527,0.2320,0.1495
73,0.2928,0.8550,0.2928,0.2434
74,0.3923,0.8598,0.3923,0.3989
75,0.5359,0.8691,0.5359,0.5659
76,0.3757,0.8589,0.3757,0.3794
77,0.1989,0.3598,0.1989,0.0886
78,0.2983,0.8553,0.2983,0.2628
79,0.2652,0.8539,0.2652,0.1964
80,0.4365,0.8622,0.4365,0.4593
81,0.5028,0.8666,0.5028,0.5191
82,0.4530,0.8633,0.4530,0.4781
83,0.3591,0.8581,0.3591,0.3276
84,0.2983,0.6907,0.2983,0.2475
85,0.5967,0.8744,0.5967,0.6115
86,0.4199,0.8613,0.4199,0.4346
87,0.2818,0.8546,0.2818,0.2337
88,0.2431,0.8531,0.2431,0.1707
89,0.2597,0.8537,0.2597,0.1947
90,0.4144,0.8610,0.4144,0.4312
91,0.4420,0.8626,0.4420,0.4461
92,0.4807,0.8551,0.4807,0.4655
93,0.3204,0.8562,0.3204,0.2998
94,0.3591,0.8385,0.3591,0.3565
95,0.3481,0.8575,0.3481,0.3381
96,0.5249,0.8682,0.5249,0.5614
97,0.4420,0.8626,0.4420,0.4660
98,0.5912,0.8739,0.5912,0.6204
99,0.6575,0.8731,0.6575,0.6798
100,0.5746,0.8724,0.5746,0.6013
101,0.5912,0.8739,0.5912,0.6271
102,0.6243,0.8772,0.6243,0.6635
103,0.5967,0.8744,0.5967,0.6357
104,0.7017,0.8798,0.7017,0.7138
105,0.6630,0.8728,0.6630,0.6985
106,0.7845,0.8948,0.7845,0.7991
107,0.5083,0.8670,0.5083,0.5391
108,0.4254,0.8616,0.4254,0.4356
109,0.4309,0.8619,0.4309,0.4525
