                  epoch,             train/loss,              test/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,                   lr/0
                     95,                0.34577,                0.39922,                0.95098,                      1,              0.0006832
                     96,                0.33674,                0.36722,                0.95752,                      1,              0.0006799
                     97,                0.33779,                0.37982,                0.95752,                      1,              0.0006766
                     98,                0.34449,                0.38659,                0.95425,                      1,              0.0006733
                     99,                0.34204,                0.40704,                0.96405,                      1,                0.00067
                    100,                0.34808,                0.38436,                0.96078,                      1,              0.0006667
                    101,                0.34755,                0.37505,                0.96078,                      1,              0.0006634
                    102,                0.34542,                0.37107,                0.96078,                      1,              0.0006601
                    103,                0.34011,                0.40587,                0.95425,                      1,              0.0006568
                    104,                0.34296,                0.37711,                0.96078,                      1,              0.0006535
                    105,                0.34947,                0.38223,                0.95752,                      1,              0.0006502
                    106,                0.33435,                0.36859,                0.96078,                      1,              0.0006469
                    107,                0.33627,                0.42684,                0.96078,                      1,              0.0006436
                    108,                0.34026,                0.38126,                0.95752,                      1,              0.0006403
                    109,                0.34317,                0.37478,                0.96078,                      1,               0.000637
                    110,                0.33351,                 0.3934,                0.94444,                      1,              0.0006337
                    111,                0.34293,                0.40057,                0.95098,                      1,              0.0006304
                    112,                0.34454,                0.41501,                0.95752,                      1,              0.0006271
                    113,                 0.3336,                0.36456,                0.96078,                      1,              0.0006238
                    114,                0.33501,                 0.3853,                0.95752,                      1,              0.0006205
                    115,                0.33935,                0.37181,                0.96405,                      1,              0.0006172
                    116,                0.34852,                0.39594,                0.96078,                      1,              0.0006139
                    117,                0.33967,                0.39756,                0.96078,                      1,              0.0006106
                    118,                 0.3398,                0.40399,                0.95425,                      1,              0.0006073
                    119,                0.34624,                0.42266,                0.95752,                      1,               0.000604
                    120,                0.33365,                0.37752,                0.95752,                      1,              0.0006007
                    121,                0.33766,                0.37623,                0.96405,                      1,              0.0005974
                    122,                0.33431,                0.38483,                0.95752,                      1,              0.0005941
                    123,                0.33994,                0.36793,                0.95752,                      1,              0.0005908
                    124,                0.33662,                0.35438,                0.96405,                      1,              0.0005875
                    125,                0.33285,                0.39936,                0.95752,                      1,              0.0005842
                    126,                0.33876,                0.40723,                0.95752,                      1,              0.0005809
                    127,                 0.3369,                 0.3765,                0.96405,                      1,              0.0005776
                    128,                0.33469,                0.40984,                0.96078,                      1,              0.0005743
                    129,                0.33949,                0.39775,                0.95752,                      1,               0.000571
                    130,                0.33193,                0.38922,                0.96078,                      1,              0.0005677
                    131,                0.32922,                0.39537,                0.96078,                      1,              0.0005644
                    132,                0.32801,                 0.4002,                0.96405,                      1,              0.0005611
                    133,                0.32798,                0.38409,                0.95752,                      1,              0.0005578
                    134,                  0.336,                0.37917,                0.95752,                      1,              0.0005545
                    135,                0.32874,                0.36651,                0.96405,                      1,              0.0005512
                    136,                 0.3357,                0.36528,                0.96405,                      1,              0.0005479
                    137,                0.34555,                0.42119,                0.96405,                      1,              0.0005446
                    138,                0.34186,                 0.3582,                0.96732,                      1,              0.0005413
                    139,                0.33369,                0.37656,                0.96732,                      1,               0.000538
                    140,                0.33451,                0.39232,                0.95752,                      1,              0.0005347
                    141,                0.33246,                 0.3637,                0.96078,                      1,              0.0005314
                    142,                0.32228,                0.36901,                0.96078,                      1,              0.0005281
                    143,                 0.3315,                0.38707,                0.95098,                      1,              0.0005248
                    144,                0.33022,                0.42173,                0.95425,                      1,              0.0005215
                    145,                0.32551,                0.38466,                0.95425,                      1,              0.0005182
                    146,                0.33124,                 0.3774,                0.96078,                      1,              0.0005149
                    147,                0.32822,                0.38134,                0.95752,                      1,              0.0005116
                    148,                0.33305,                0.39456,                0.94444,                      1,              0.0005083
                    149,                0.32808,                0.37392,                0.96078,                      1,               0.000505
                    150,                0.32966,                0.43241,                0.95752,                      1,              0.0005017
                    151,                0.33854,                0.39771,                0.96078,                      1,              0.0004984
                    152,                0.33357,                0.38486,                0.96405,                      1,              0.0004951
                    153,                0.33517,                 0.4096,                0.96078,                      1,              0.0004918
                    154,                0.33221,                0.40316,                0.96405,                      1,              0.0004885
                    155,                0.33364,                 0.3686,                0.97059,                      1,              0.0004852
                    156,                  0.323,                0.40035,                0.96405,                      1,              0.0004819
                    157,                0.32798,                0.39058,                0.96405,                      1,              0.0004786
                    158,                 0.3279,                0.43173,                0.96405,                      1,              0.0004753
                    159,                0.32883,                0.37829,                0.96078,                      1,               0.000472
                    160,                0.32059,                 0.4042,                0.96078,                      1,              0.0004687
                    161,                0.32453,                0.37772,                0.95752,                      1,              0.0004654
                    162,                0.32009,                0.36272,                0.95752,                      1,              0.0004621
                    163,                0.32859,                 0.3708,                0.96078,                      1,              0.0004588
                    164,                0.33443,                0.41619,                0.95752,                      1,              0.0004555
                    165,                0.32473,                0.38419,                0.95425,                      1,              0.0004522
                    166,                0.32617,                0.35798,                0.95752,                      1,              0.0004489
                    167,                0.33418,                0.36258,                0.96078,                      1,              0.0004456
                    168,                0.32183,                0.37383,                0.96078,                      1,              0.0004423
                    169,                0.33711,                0.42003,                0.95752,                      1,               0.000439
                    170,                0.33132,                0.43784,                0.95098,                      1,              0.0004357
                    171,                0.33751,                0.39709,                0.95425,                      1,              0.0004324
                    172,                0.32591,                0.36582,                0.96078,                      1,              0.0004291
                    173,                 0.3371,                 0.3937,                0.96078,                      1,              0.0004258
                    174,                0.32329,                0.36064,                0.96405,                      1,              0.0004225
                    175,                0.32313,                0.38387,                0.95752,                      1,              0.0004192
                    176,                0.32996,                0.38996,                0.96405,                      1,              0.0004159
                    177,                0.33149,                0.36746,                0.96405,                      1,              0.0004126
                    178,                0.32631,                0.40415,                0.96078,                      1,              0.0004093
                    179,                0.32449,                0.36801,                0.96078,                      1,               0.000406
                    180,                 0.3205,                0.38801,                0.95752,                      1,              0.0004027
                    181,                0.32696,                 0.3953,                0.95425,                      1,              0.0003994
                    182,                0.31934,                0.37737,                0.95425,                      1,              0.0003961
