               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss, train/cls_task_loss,train/constraint_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,   val/cls_task_loss, val/constraint_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1168,            0.013796,            0.050339,              1.1019,                   0,                   0,                   0,                   0,                   0,             0.12065,            0.010736,            0.051038,              1.1016,                   0,              0.0937,              0.0007,              0.0007
                   1,             0.11702,            0.013703,            0.050626,               1.103,                   0,                   0,                   0,                   0,                   0,             0.12077,            0.010736,            0.050903,              1.1016,                   0,            0.086496,           0.0014955,           0.0014955
                   2,             0.11625,            0.013841,            0.050636,              1.1032,                   0,                   0,                   0,                   0,                   0,             0.12034,            0.010729,            0.050806,              1.1035,                   0,            0.079286,           0.0022862,           0.0022862
                   3,              0.1163,             0.01379,            0.050253,              1.1073,                   0,                   0,                   0,                   0,                   0,             0.11968,            0.010814,            0.050806,              1.1055,                   0,            0.072072,           0.0030721,           0.0030721
                   4,              0.1165,            0.013748,            0.050543,               1.105,                   0,                   0,                   0,                   0,                   0,             0.11887,            0.010883,             0.05072,              1.1045,                   0,            0.064853,           0.0038532,           0.0038532
                   5,             0.11528,            0.013872,            0.049641,              1.1024,                   0,                   0,                   0,                   0,                   0,             0.11771,             0.01101,            0.050525,              1.1045,                   0,             0.05763,           0.0046295,           0.0046295
                   6,             0.11471,            0.013918,             0.04971,              1.1007,                   0,                   0,                   0,                   0,                   0,              0.1174,            0.011002,            0.050549,              1.1055,                   0,            0.050401,            0.005401,            0.005401
                   7,             0.11395,            0.013961,             0.04915,              1.1022,                   0,                   0,                   0,                   0,                   0,             0.11669,            0.011082,            0.050098,              1.1045,                   0,            0.043168,           0.0061677,           0.0061677
                   8,             0.11273,            0.014061,            0.049607,              1.1013,                   0,                   0,                   0,                   0,                   0,             0.11556,            0.011203,            0.050037,              1.1055,                   0,             0.03593,           0.0069296,           0.0069296
                   9,             0.11171,            0.014156,            0.049138,              1.1027,                   0,                   0,                   0,                   0,                   0,             0.11314,            0.011443,             0.04928,              1.1035,                   0,            0.028687,           0.0076867,           0.0076867
