               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss, train/cls_task_loss,train/constraint_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,   val/cls_task_loss, val/constraint_loss,               x/lr0,               x/lr1,               x/lr2
                  28,            0.084679,            0.016913,            0.043831,              1.0817,                   0,           0.0029682,             0.24072,           0.0064763,            0.001711,            0.079356,            0.015131,            0.043506,               1.085,                   0,             0.00919,             0.00919,             0.00919
                  29,            0.082773,            0.017079,            0.043296,              1.0844,                   0,            0.010859,             0.19792,            0.010214,           0.0021854,            0.077184,            0.015313,            0.043115,               1.083,                   0,             0.00916,             0.00916,             0.00916
                  30,            0.079945,            0.017358,             0.04286,              1.0762,                   0,           0.0085602,             0.32623,           0.0095693,           0.0019456,            0.075813,            0.015348,            0.041931,              1.0752,                   0,             0.00913,             0.00913,             0.00913
                  31,            0.077675,            0.017534,            0.041897,              1.0706,                   0,           0.0073504,             0.36686,            0.012406,           0.0025869,             0.07396,            0.015352,            0.040552,              1.0645,                   0,              0.0091,              0.0091,              0.0091
                  32,            0.075866,            0.017536,            0.040858,              1.0716,                   0,            0.007055,             0.52282,            0.013478,           0.0031421,            0.072489,            0.015298,            0.039551,              1.0576,                   0,             0.00907,             0.00907,             0.00907
                  33,            0.074322,            0.017555,            0.039685,              1.0603,                   0,           0.0081275,             0.62557,            0.018844,           0.0046618,             0.07105,            0.015255,             0.03811,              1.0537,                   0,             0.00904,             0.00904,             0.00904
                  34,            0.071663,            0.017529,            0.038575,              1.0453,                   0,           0.0069079,             0.67794,            0.017188,           0.0038296,            0.069926,            0.015113,            0.036816,              1.0352,                   0,             0.00901,             0.00901,             0.00901
                  35,            0.069933,            0.017398,            0.037245,              1.0413,                   0,           0.0049898,             0.79943,            0.029694,           0.0065215,            0.067418,            0.014997,             0.03548,              1.0234,                   0,             0.00898,             0.00898,             0.00898
                  36,            0.068281,            0.017112,            0.035884,                1.02,                   0,           0.0043368,             0.83305,            0.036561,           0.0090271,            0.067111,            0.014649,             0.03429,             0.98779,                   0,             0.00895,             0.00895,             0.00895
                  37,            0.066243,            0.017081,            0.034508,             0.99974,                   0,             0.33452,             0.12481,            0.044884,            0.011399,            0.065222,            0.014597,            0.033307,             0.95361,                   0,             0.00892,             0.00892,             0.00892
                  38,            0.065639,            0.016807,            0.033743,             0.99064,                   0,             0.44085,            0.039535,            0.058782,             0.01401,            0.064529,             0.01446,             0.03244,             0.93262,                   0,             0.00889,             0.00889,             0.00889
                  39,            0.063519,            0.016627,            0.032334,             0.95348,                   0,             0.30838,             0.12405,            0.039156,           0.0093348,            0.065175,            0.014173,            0.031696,             0.88965,                   0,             0.00886,             0.00886,             0.00886
                  40,            0.062532,            0.016516,            0.031782,             0.92249,                   0,             0.30533,             0.11295,              0.0359,           0.0097829,            0.064405,            0.013993,            0.030682,             0.85791,                   0,             0.00883,             0.00883,             0.00883
                  41,            0.061588,            0.016349,            0.030844,              0.9008,                   0,             0.30745,             0.11184,            0.043535,            0.010591,             0.06233,            0.013946,             0.03006,             0.81787,                   0,              0.0088,              0.0088,              0.0088
                  42,            0.060533,            0.016139,            0.029958,             0.87865,                   0,             0.27839,            0.039084,            0.037243,             0.01026,            0.061454,            0.013919,            0.029199,             0.77686,                   0,             0.00877,             0.00877,             0.00877
                  43,            0.060322,            0.016082,            0.028661,             0.86061,                   0,             0.31805,            0.028693,            0.037287,           0.0096427,            0.062707,            0.013522,            0.028546,             0.76074,                   0,             0.00874,             0.00874,             0.00874
                  44,            0.059481,            0.015929,            0.027917,             0.81628,                   0,             0.30484,            0.034848,            0.048025,            0.012355,            0.061231,            0.013588,            0.027441,             0.73438,                   0,             0.00871,             0.00871,             0.00871
                  45,            0.059419,            0.015648,            0.026834,             0.78767,                   0,           0.0044076,             0.90038,            0.042928,            0.012074,            0.060586,            0.013519,            0.026367,             0.69238,                   0,             0.00868,             0.00868,             0.00868
                  46,            0.057304,            0.015791,            0.026032,             0.77991,                   0,             0.51617,            0.018939,            0.055051,            0.014703,            0.061522,            0.013293,            0.025604,             0.68115,                   0,             0.00865,             0.00865,             0.00865
                  47,            0.057666,            0.015482,            0.025281,             0.74436,                   0,           0.0047321,             0.91259,            0.037135,           0.0093297,            0.061217,            0.013184,            0.024652,             0.66455,                   0,             0.00862,             0.00862,             0.00862
